"event";"experiment time";"system time";"system time text"
"START";0.000000000E0;1767555581.275;"2026-01-04 21:39:41.275 UTC+02:00"
"PAUSE";2.286005256E2;1767555809.875;"2026-01-04 21:43:29.875 UTC+02:00"
