Time(s);Latitude;Longitude;Height(m);Velocity(m/s);Direction(°);Horizontal Accuracy(m);Vertical Accuracy(m)
2.154366760E2;6.029260500E1;2.503647500E1;1.462730685E1;2.604494333E0;2.850000000E2;1.600000024E0;7.599999905E0
2.164351330E2;6.029261333E1;2.503642167E1;1.482718658E1;2.717733383E0;2.850000000E2;1.700000048E0;7.900000095E0
2.174310804E2;6.029262000E1;2.503636333E1;1.502705759E1;2.782073498E0;2.850000000E2;1.600000024E0;7.199999809E0
2.184364727E2;6.029263000E1;2.503629000E1;1.582689374E1;2.771779060E0;2.850000000E2;1.600000024E0;7.000000000E0
2.194366081E2;6.029264000E1;2.503621833E1;1.702673338E1;2.767661333E0;2.850000000E2;1.500000000E0;6.900000095E0
2.204294372E2;6.029264333E1;2.503619000E1;1.762667063E1;2.759940624E0;2.850000000E2;1.700000048E0;7.199999809E0
2.214362047E2;6.029265167E1;2.503612833E1;1.812653293E1;2.761484623E0;2.850000000E2;1.600000024E0;7.099999905E0
2.224361804E2;6.029266000E1;2.503606667E1;1.872639522E1;2.766117334E0;2.850000000E2;1.500000000E0;6.800000191E0
2.234365844E2;6.029266333E1;2.503604000E1;1.882633596E1;2.760970116E0;2.850000000E2;1.399999976E0;6.900000095E0
2.244350914E2;6.029266833E1;2.503600833E1;1.862626449E1;2.687364817E0;2.850000000E2;1.399999976E0;6.800000191E0
2.254345483E2;6.029267167E1;2.503598000E1;1.882620174E1;2.606553316E0;2.850000000E2;1.399999976E0;6.599999905E0
2.264341164E2;6.029267500E1;2.503595333E1;1.882614247E1;2.500005722E0;2.850000000E2;1.399999976E0;6.800000191E0
2.274333505E2;6.029267667E1;2.503594000E1;1.862611284E1;2.322426558E0;2.850000000E2;1.399999976E0;7.099999905E0
2.284345499E2;6.029267833E1;2.503593500E1;1.812610064E1;2.168524742E0;2.850000000E2;1.399999976E0;7.099999905E0
