"Time (s)";"Linear Acceleration x (m/s^2)";"Linear Acceleration y (m/s^2)";"Linear Acceleration z (m/s^2)"
3.628470600E-1;-1.336518049E0;1.599987030E0;-1.089339972E0
3.676392880E-1;-1.209128022E0;1.566305995E0;-1.055027962E0
3.724313670E-1;-1.110890031E0;1.511731982E0;-1.004094958E0
3.772236100E-1;-1.041818023E0;1.467314959E0;-9.748309851E-1
3.820156890E-1;-9.754300117E-1;1.416401029E0;-9.361259937E-1
3.868079180E-1;-9.046130180E-1;1.347319007E0;-8.329769969E-1
3.916000020E-1;-8.104220033E-1;1.267312050E0;-6.486350298E-1
3.963923070E-1;-6.908299923E-1;1.217123032E0;-4.525600076E-1
4.011845550E-1;-5.126510262E-1;1.179770947E0;-3.189370036E-1
4.059766320E-1;-3.785679936E-1;1.143169999E0;-2.285780013E-1
4.107686320E-1;-2.453240007E-1;1.109642982E0;-1.407600045E-1
4.155609280E-1;-1.081420034E-1;1.129102945E0;-7.216600329E-2
4.203531590E-1;-3.364500031E-2;1.189345002E0;-3.586000064E-3
4.251452520E-1;-7.129000034E-3;1.240041018E0;7.936400175E-2
4.299374810E-1;-1.603700034E-2;1.290573955E0;1.408270001E-1
4.347295640E-1;-1.731899939E-2;1.321843982E0;2.262769938E-1
4.395217930E-1;-5.880099908E-2;1.400725961E0;3.788439929E-1
4.443138720E-1;-1.023119986E-1;1.424307942E0;5.218979716E-1
4.491060870E-1;-2.074970007E-1;1.423604965E0;6.363049746E-1
4.538981660E-1;-1.786330044E-1;1.546555996E0;7.939820290E-1
4.586903940E-1;-2.761279941E-1;1.615833998E0;9.231359959E-1
4.634824730E-1;-2.802450061E-1;1.752941966E0;1.052602053E0
4.682747020E-1;-3.488390148E-1;1.861994982E0;1.175227046E0
4.730667610E-1;-3.886510134E-1;1.844962001E0;1.250275016E0
4.778589900E-1;-4.044849873E-1;1.861843944E0;1.323325992E0
4.826512980E-1;-3.964959979E-1;1.905189991E0;1.396824002E0
4.874432950E-1;-4.101209939E-1;1.953255057E0;1.370257020E0
4.922356000E-1;-4.141570032E-1;2.013127089E0;1.262809992E0
4.970276120E-1;-4.203799963E-1;2.044289112E0;1.170225978E0
5.018196890E-1;-3.881309927E-1;2.149374008E0;1.047096968E0
5.066119180E-1;-3.701030016E-1;2.247014046E0;8.599060178E-1
5.114039970E-1;-4.447140098E-1;2.301635981E0;7.163500190E-1
5.161962260E-1;-5.661219954E-1;2.339704037E0;5.805130005E-1
5.209885330E-1;-6.552709937E-1;2.334846020E0;3.279120028E-1
5.257805200E-1;-7.571049929E-1;2.423795938E0;3.751229942E-1
5.305728260E-1;-8.847339749E-1;2.548998117E0;3.414840102E-1
5.353649050E-1;-8.994809985E-1;2.612241030E0;1.815309972E-1
5.401571340E-1;-9.781799912E-1;2.659176111E0;-1.645960063E-1
5.449491360E-1;-1.118000031E0;2.850605011E0;-2.612060010E-1
5.497414570E-1;-1.195139050E0;3.057421923E0;-5.153520107E-1
5.545335350E-1;-1.252580047E0;3.232446909E0;-6.997259855E-1
5.593257640E-1;-1.359526992E0;3.302182913E0;-1.001248002E0
5.641178380E-1;-1.253417969E0;3.449431896E0;-1.063380957E0
5.689100670E-1;-1.213871956E0;3.597894907E0;-1.233386040E0
5.737021550E-1;-1.535820007E0;3.312509060E0;-9.613710046E-1
5.784943840E-1;-1.708691001E0;2.924169064E0;-8.412989974E-1
5.832864630E-1;-1.805070996E0;2.660188913E0;-8.133280277E-1
5.880786860E-1;-1.875138998E0;2.570897102E0;-5.830159783E-1
5.928707650E-1;-1.611852050E0;2.787206888E0;-2.507599890E-1
5.976629940E-1;-1.550143957E0;2.666050911E0;1.089349985E-1
6.024550690E-1;-1.584133983E0;2.301621914E0;5.533080101E-1
6.072472980E-1;-1.597108006E0;1.901918054E0;1.060873032E0
6.120393770E-1;-1.621255040E0;1.527341008E0;1.508682966E0
6.168316060E-1;-1.612416029E0;1.099877954E0;1.826627970E0
6.216236850E-1;-1.611166954E0;7.435190082E-1;2.333297968E0
6.264159080E-1;-1.472030997E0;3.641580045E-1;2.789454937E0
6.312079870E-1;-1.207442999E0;-2.936100028E-2;3.066000938E0
6.360002160E-1;-8.987050056E-1;-4.090900123E-1;3.352297068E0
6.407922950E-1;-5.127419829E-1;-8.165699840E-1;3.342087984E0
6.455845240E-1;-1.091910005E-1;-1.249343991E0;3.100007057E0
6.503766030E-1;2.746590078E-1;-1.642714024E0;2.879837990E0
6.551688310E-1;6.944059730E-1;-2.030308962E0;2.710331917E0
6.599609100E-1;1.121086955E0;-2.424210072E0;2.457442999E0
6.647531390E-1;1.601523042E0;-2.714973927E0;1.900447011E0
6.695452180E-1;1.828408957E0;-2.769876957E0;1.975911021E0
6.743374470E-1;2.178426027E0;-2.943028927E0;1.587188005E0
6.791295410E-1;2.549022913E0;-3.121927023E0;1.165261030E0
6.839217700E-1;2.773170948E0;-3.222918987E0;4.970690012E-1
6.887138490E-1;2.788399935E0;-3.103231907E0;7.272650003E-1
6.935060770E-1;3.077141047E0;-2.964160919E0;2.972559929E-1
6.982981560E-1;3.178653002E0;-2.820372105E0;-2.063049972E-1
7.030903850E-1;3.091943026E0;-2.616851091E0;-7.283700109E-1
